people_group,country,population,language,longitude,latitude
"Afghan, Tajik",Afghanistan,"10,585,000",Dari,62.14612,31.15621
Afshari,Afghanistan,"15,000","Azerbaijani, South",69.28976,34.44796
Aimaq,Afghanistan,"1,595,000",Aimaq,63.128594,35.00501
Ansari,Afghanistan,"2,400",Urdu,69.3198,34.54777
"Arab, Tajiki",Afghanistan,"18,000","Arabic, Tajiki Spoken",66.80422,36.9447
Arora (Hindu traditions),Afghanistan,"1,500",Saraiki,70.980606,36.187213
"Baloch, Western",Afghanistan,"467,000","Balochi, Western",63.20176,30.24139
Bania (Muslim traditions),Afghanistan,"6,400",Urdu,69.435276,34.375787
Brahmin,Afghanistan,"3,700",Urdu,69.392519,34.294237
Brahui,Afghanistan,"322,000",Brahui,64.73688,30.0908
Changgar,Afghanistan,"3,100",Urdu,69.633613,34.470761
"Darwazi, Badakhshani",Afghanistan,"16,000",Dari,70.72609,38.05962
Deaf,Afghanistan,"389,000",Afghan Sign Language,69.136606,34.5325
"Garwi, Kohistani",Afghanistan,"1,900",Gawri,71.448485,35.012132
Gujar (Muslim traditions),Afghanistan,"18,000",Gujari,71.48793,35.24842
Hazara,Afghanistan,"3,891,000",Hazaragi,66.94109,34.35039
Ishkashimi,Afghanistan,"3,100",Ishkashimi,71.563232,36.71347
Kalash (Chitrali),Afghanistan,"10,000",Khowar,70.212641,36.653176
Karakalpak,Afghanistan,"3,200",Karakalpak,67.10763,36.66888
Kazakh,Afghanistan,"3,200",Kazakh,69.12301,36.69403
Khatri (Sikh traditions),Afghanistan,"2,700","Punjabi, Eastern",69.14323,34.321458
Khik (Wakhi),Afghanistan,"21,000",Wakhi,72.85094,36.96537
"Kurd, Central",Afghanistan,"4,000","Kurdish, Central",69.1952,34.5155
Kyrgyz,Afghanistan,"1,300",Kyrgyz,74.24692,37.06464
Moghal,Afghanistan,"2,300",Dari,62.275922,34.236263
Munji,Afghanistan,"7,000",Munji,70.85744,35.79309
Mussali,Afghanistan,"3,200","Punjabi, Eastern",69.095272,34.422154
"Narisati, Arandui",Afghanistan,"39,000",Gawar-Bati,71.53814,35.22045
Nuristani Narisati,Afghanistan,"144,000",Kati,70.75245,35.48049
"Nuristani, Ashkuni",Afghanistan,"48,000",Ashkun,70.5923,35.11697
"Nuristani, Grangali",Afghanistan,"11,000",Grangali,70.70943,34.87613
"Nuristani, Kamviri",Afghanistan,"22,000",Kamviri,71.32342,35.40963
"Nuristani, Malakhel",Afghanistan,"3,200",Dari,69.01918,34.13174
"Nuristani, Prasuni",Afghanistan,"9,700",Prasuni,70.92815,35.4495
"Nuristani, Tregami",Afghanistan,"4,200",Tregami,71.11979,35.0073
"Nuristani, Waigeli",Afghanistan,"32,000",Waigali,71.05953,35.17784
Ormuri,Afghanistan,"3,200","Pashto, Southern",68.91851,32.77482
Pahlavani,Afghanistan,"3,700",Dari,62.19879,31.33334
Parachi,Afghanistan,"8,100",Parachi,69.64313,35.07936
Parsee,Afghanistan,"2,300",Dari,61.583604,34.245037
"Parya, Laghmani",Afghanistan,400,Parya,69.89671,34.47933
Pashayi,Afghanistan,"47,000","Kohistani, Indus",69.45316,34.204284
"Pashayi, Northeast",Afghanistan,"92,000","Pashai, Northeast",70.43166,34.66002
"Pashayi, Northwest",Afghanistan,"96,000","Pashai, Northwest",70.04196,34.96106
"Pashayi, Southeast",Afghanistan,"547,000","Pashai, Southeast",70.30351,34.43099
"Pashayi, Southwest",Afghanistan,"121,000","Pashai, Southwest",69.77576,34.88104
"Pashtun, Northern",Afghanistan,"2,749,000","Pashto, Northern",68.363,33.562
"Pashtun, Southern",Afghanistan,"9,656,000","Pashto, Southern",68.363,33.562
Persian,Afghanistan,"663,000","Persian, Iranian",62.446083,34.258211
Punjabi,Afghanistan,"6,000","Punjabi, Eastern",71.073213,34.147839
"Punjabi, Western",Afghanistan,"37,000","Punjabi, Western",70.301167,34.757485
Qizilbash,Afghanistan,"299,000",Dari,62.09403,32.364777
"Romani, Balkan",Afghanistan,"17,000","Romani, Balkan",62.151338,34.350455
"Romani, Domari",Afghanistan,"11,000",Domari,69.12958,34.47461
Sanglechi,Afghanistan,"2,800",Sanglechi,71.57368,36.67411
Sau,Afghanistan,"4,800",Savi,71.4591,35.16964
Shughni,Afghanistan,"45,000",Shughni,71.37385,37.59163
Shumashti,Afghanistan,"1,600",Shumashti,70.75085,34.74897
Sindhi,Afghanistan,"24,000",Sindhi,69.108886,34.517368
Tangshuri,Afghanistan,"16,000",Dari,71.21229,38.11159
Tirahi,Afghanistan,"5,700","Pashto, Southern",66.46972,31.81734
Turk,Afghanistan,"11,000",Turkish,68.887656,34.558664
Turkmen,Afghanistan,"2,171,000",Turkmen,64.75669,36.59488
Uyghur,Afghanistan,"4,800",Uyghur,62.7225,34.89379
"Uzbek, Southern",Afghanistan,"4,358,000","Uzbek, Southern",66.70937,36.33165
Warduji,Afghanistan,"8,100",Warduji,70.86259,36.98774
Wotapuri-Katarqalai,Afghanistan,"3,500","Pashto, Northern",70.981163,35.121354
Russian,Afghanistan,900,Russian,69.232984,34.708655
Italian,Afghanistan,"1,900",Italian,69.1717,34.5507
British,Afghanistan,"1,100",English,69.190864,34.53312
German,Afghanistan,"2,900","German, Standard",69.1707,34.5502
"Americans, U.S.",Afghanistan,"10,000",English,69.168549,34.528621
"Egyptian, Balkan",Albania,"2,900","Albanian, Tosk",19.818675,41.345601
Gorani,Albania,"35,000",Serbian,19.698161,40.660934
Turk,Albania,"1,700",Turkish,19.796522,41.338572
Albanian,Albania,"2,725,000","Albanian, Gheg",20.081861,41.109815
Deaf,Albania,"14,000",Albanian Sign Language,19.797909,41.323154
Aromanian,Albania,"7,200",Aromanian,20.63302,40.23232
"European, general",Albania,"6,200",English,19.892526,41.421921
Greek,Albania,"27,000",Greek,20.18662,40.07766
Italian,Albania,"7,600",Italian,19.801377,41.324095
Macedonian,Albania,"5,400",Macedonian,20.14576,41.68565
Montenegrin,Albania,"1,300",Serbian,19.920588,40.525159
Serb,Albania,"1,300",Serbian,19.921698,40.531071
"Romani, Vlax",Albania,"7,200","Romani, Vlax",19.911424,40.800738
"Americans, U.S.",Albania,"2,000",English,19.810378,41.333518
Anglo-Canadian,Albania,800,English,19.834638,41.33587
"Algerian, Arabic-speaking",Algeria,"29,618,000","Arabic, Algerian Spoken",5.389439,35.997425
"Arab, Iraqi",Algeria,"4,700","Arabic, Mesopotamian Spoken",1.28377,28.48947
"Bedouin, Chaamba",Algeria,"137,000","Arabic, Algerian Spoken",4.379327,33.087693
"Bedouin, Dui-Menia",Algeria,"82,000","Arabic, Algerian Spoken",-2.458411,30.86561
"Bedouin, Laguat",Algeria,"82,000","Arabic, Algerian Spoken",3.103844,33.957392
"Bedouin, Nail",Algeria,"38,000","Arabic, Algerian Spoken",4.588845,34.144959
"Bedouin, Ruarha",Algeria,"82,000","Arabic, Algerian Spoken",6.01443,33.525464
"Bedouin, Sidi",Algeria,"137,000","Arabic, Algerian Spoken",-3.430999,27.611488
"Bedouin, Suafa",Algeria,"130,000","Arabic, Algerian Spoken",6.849872,33.957422
"Bedouin, Tajakant",Algeria,"1,770,000","Arabic, Algerian Spoken",3.23033,35.42078
"Bedouin, Ziban",Algeria,"274,000","Arabic, Algerian Spoken",-5.944667,28.419452
Belbali,Algeria,"3,900",Korandje,-2.56296,29.51367
"Berber, Figig",Algeria,"82,000","Tamazight, Central Atlas",-0.961099,31.963206
"Berber, Imazighen",Algeria,"1,646,000","Tamazight, Central Atlas",-0.28593,33.563667
"Berber, Kabyle",Algeria,"6,029,000",Amazigh,4.55784,36.39003
"Berber, Menasser",Algeria,"82,000","Tamazight, Central Atlas",-0.590039,32.948038
"Berber, Mozabite",Algeria,"188,000",Tumzabt,3.84135,32.47268
"Berber, Rif",Algeria,"3,200",Tarifit,-0.34831,35.83907
"Berber, Shawiya",Algeria,"2,339,000",Tachawit,6.93694,35.27603
"Berber, Southern Shilha",Algeria,"6,500",Tachelhit,-7.3006,29.29423
"Berber, Taznatit",Algeria,"12,000",Taznatit,0.10051,29.1496
"Berber, Tidikelt Tamzight",Algeria,"1,100","Arabic, Algerian Spoken",1.79388,26.91172
"Berber, Tougourt",Algeria,"9,600","Tamazight, Temacine",6.0497,33.31437
Chenoua,Algeria,"98,000",Chenoua,2.19664,36.60729
"Chinese, general",Algeria,"36,000","Chinese, Mandarin",3.21938,36.685411
Deaf,Algeria,"219,000",Algerian Sign Language,3.5462,36.4762
Hausa,Algeria,"12,000",Hausa,8.477401,26.500632
Idaksahak,Algeria,"2,500",Tadaksahak,-3.286603,29.412615
"Jew, French",Algeria,700,French,2.49053,31.6094
"Moroccan, Arabic-speaking",Algeria,"181,000","Arabic, Moroccan Spoken",-0.625895,35.672832
Ouargla,Algeria,"22,000",Tagargrent,5.27286,31.94879
"Romani, Balkan",Algeria,"4,500","Arabic, Algerian Spoken",3.09682,36.621119
Saharawi,Algeria,"220,000",Hassaniyya,-8.146384,27.674054
"Tuareg, Algerian",Algeria,"136,000","Arabic, Algerian Saharan Spoken",1.84671,28.14156
"Tuareg, Tahaggart",Algeria,"43,000","Tamahaq, Tahaggart",6.3768,22.48174
Turk,Algeria,"3,500",Turkish,2.962909,36.69981
"Arab, Egyptian",Algeria,"18,000","Arabic, Egyptian Spoken",3.098096,36.709413
French,Algeria,"13,000",French,2.49053,31.6094
Spaniard,Algeria,600,Spanish,2.989062,36.695453
British,Algeria,800,English,3.047684,36.740581
Japanese,American Samoa,"1,000",Japanese,-170.709739,-14.276768
Deaf,American Samoa,300,Language unknown,-170.744101,-14.316407
"Americans, U.S.",American Samoa,"1,000",English,-170.8,-14.31
Euronesian,American Samoa,"3,800",English,-170.79946,-14.32474
"Filipino, Tagalog",American Samoa,700,Tagalog,-170.694914,-14.281954
Korean,American Samoa,500,Korean,-170.708377,-14.281501
Samoan,American Samoa,"46,000",Samoan,-170.70238,-14.29333
Tokelauan,American Samoa,90,Tokelauan,-170.74249,-14.29119
Tongan,American Samoa,700,Tongan,-170.74249,-14.31318
"Moroccan, Arabic-speaking",Andorra,500,"Arabic, Moroccan Spoken",1.475602,42.534721
"South Asian, general",Andorra,600,Hindi,1.53237,42.480647
"Catalonian, Andorran",Andorra,"33,000",Catalan,1.582926,42.559449
Deaf,Andorra,200,Language unknown,1.562219,42.548474
French,Andorra,"4,500",French,1.578741,42.551537
German,Andorra,600,"German, Standard",1.495969,42.510138
Italian,Andorra,600,Italian,1.520812,42.507921
Spanish,Andorra,"23,000",Spanish,1.60125,42.54865
British,Andorra,900,English,1.512426,42.546378
Portuguese,Andorra,"12,000",Portuguese,1.512446,42.504617
"Chinese, general",Angola,"50,000","Chinese, Mandarin",13.223386,-8.843979
Kung-Ekoka,Angola,"7,400",Kung-Ekoka,14.34318,-7.28215
Masi,Angola,"4,900",Mashi,21.90066,-15.95814
Mbangala,Angola,"675,000",Mbangala,17.57672,-9.16974
"Vasekela Bushman, Maligo",Angola,"14,000",Northwestern Kung,15.74211,-7.93095
Deaf,Angola,"329,000",Language unknown,13.268967,-8.823472
French,Angola,"7,400",French,13.421692,-8.987234
Nkhumbi,Angola,"702,000",Nkumbi,14.13565,-15.40955
"Nyemba, Ngangela",Angola,"1,004,000",Nyemba,17.9972,-15.62958
"Portuguese, Branco",Angola,"2,018,000",Portuguese,13.257265,-9.328011
Spaniard,Angola,"14,000",Spanish,13.260424,-8.811594
"Bolo, Haka",Angola,"5,100",Kibala,15.10681,-10.27549
British,Angola,"1,200",English,15.7438,-12.736837
Cape Verdean,Angola,"77,000",Kabuverdianu,13.455789,-8.60325
"Heikum, Kedi",Angola,"1,600",Haiom,21.301622,-17.019218
Herero,Angola,"24,000",Herero,14.979181,-16.736625
Holu,Angola,"54,000",Holu,17.5774,-8.20931
Kung-Tsumkwe,Angola,"9,800",Ju'hoan,20.892357,-17.711445
Lwalwa,Angola,"24,000",Lwalu,21.373317,-7.683371
Mbunda,Angola,"320,000",Mbunda,21.59839,-14.59088
Mpinda,Angola,"32,000",Mpinda,13.765602,-10.736136
Ndombe,Angola,"49,000",Ndombe,13.37172,-12.965
Ngandyera,Angola,"30,000",Ngandjera,21.19282,-16.63593
Nkangala,Angola,"52,000",Nkangala,19.02923,-13.39491
Nyaneka,Angola,"1,067,000",Nyaneka,14.94004,-15.96162
"Pygmy, Bakwe",Angola,"23,000",Koongo,14.291577,-6.07965
"Sama, Kissama",Angola,"59,000",Sama,13.87134,-9.86931
"Simaa, Nyengo",Angola,"24,000",Nyengo,22.41077,-17.12275
Simaa-Makoma,Angola,"3,700",Simaa,21.91173,-14.201137
Suku,Angola,"37,000",Suku,16.604171,-6.99523
Yauma,Angola,"42,000",Yauma,20.51199,-14.1932
Yombe,Angola,"79,000",Yombe,12.55489,-4.78172
Afrikaner,Angola,"2,200",Afrikaans,13.570934,-15.254118
"Ambo, Ndonga",Angola,"39,000",Ndonga,21.43357,-17.25975
Chokwe,Angola,"2,101,000",Chokwe,20.16828,-9.65336
Dhimba,Angola,"31,000",Dhimba,13.69577,-16.55169
"English-speaking, general",Angola,"24,000",English,13.553865,-8.837257
"Gciriku, Shimbogedu",Angola,"24,000",Gciriku,20.7608,-17.76548
Hungu,Angola,"853,000",Hungu,15.06,-7.63
Kimbundu,Angola,"7,969,000",Kimbundu,15.05625,-8.10198
Kongo,Angola,"3,401,000",Koongo,14.3043,-6.63077
"Kongo, San Salvador",Angola,"20,000","Kongo, San Salvador",12.48045,-5.59758
Kuvale,Angola,"92,000",Kuvale,12.5,-15
Kwandu,Angola,"7,900",Kwandu,13.313938,-14.046703
Kwanyama,Angola,"747,000",Oshiwambo,16.34135,-17.03144
"Kxoe, Xun",Angola,300,Khwedam,22.41191,-17.65705
Lali,Angola,"5,200",Laari,32.574811,0.316111
Lingala,Angola,"143,000",Lingala,15.053854,-7.611542
Lozi,Angola,"8,600",Lozi,20.936599,-14.988749
Luba-Lulua,Angola,"73,000",Luba-Kasai,20.73772,-8.426416
Luchazi,Angola,"639,000",Luchazi,20.37763,-13.71307
Luimbi,Angola,"108,000",Luimbi,17.44547,-11.43456
Lunda,Angola,"354,000",Lunda,22.90985,-11.18875
"Lunda, Ndembu",Angola,"18,000",Lunda,22.90985,-11.18875
"Luvale, Lwena",Angola,"335,000",Luvale,20.12819,-12.07916
"Luyana, Kwangali",Angola,"24,000",Kwangali,19.04544,-17.43029
"Mbukushu, Kusso",Angola,"15,000",Mbukushu,22.48909,-16.94924
"Mbwela, Ambuella",Angola,"526,000",Mbwela,18.12592,-13.38274
Ngendelengo,Angola,"1,300",Ngendelengo,13.174088,-14.060956
"Ovimbundu, Umbundu",Angola,"7,446,000",Umbundu,14.51821,-12.93443
"Ruund, Northern Lunda",Angola,"241,000",Ruund,19.76441,-7.31907
"Songo, Nsongo",Angola,"219,000",Songo,16.76775,-10.44121
Yaka,Angola,"490,000",Yaka,16.66277,-6.69586
"South Asian, general",Anguilla,100,Hindi,-63.053694,18.219463
British,Anguilla,300,English,-63.04394,18.22966
"Chinese, general",Anguilla,300,English,-63.037828,18.236997
"Americans, U.S.",Anguilla,300,English,-63.040135,18.238806
"Antiguan, mixed",Anguilla,"14,000",Leeward Caribbean English Creole,-63.06438,18.23061
Deaf,Antigua and Barbuda,500,Language unknown,-61.785655,17.073701
British,Antigua and Barbuda,"3,300",English,-61.8386,17.10076
Afro-Antiguan,Antigua and Barbuda,"79,000",English,-61.829604,17.127977
"Americans, U.S.",Antigua and Barbuda,"11,000",English,-61.8386,17.10076
"Antiguan, mixed",Antigua and Barbuda,"2,700",Leeward Caribbean English Creole,-61.78942,17.0805
"Jew, Spanish-speaking",Argentina,"182,000",Spanish,-58.748789,-34.522686
Turk,Argentina,800,Turkish,-58.687017,-34.747146
"Arab, Palestinian",Argentina,"1,200","Arabic, South Levantine Spoken",-58.741756,-34.159273
"Arab, Syrian",Argentina,"1,482,000","Arabic, North Levantine Spoken",-58.216968,-34.996522
"Chinese, general",Argentina,"77,000","Chinese, Mandarin",-58.534193,-34.713045
Czech,Argentina,"8,100",Czech,-58.394833,-34.595988
Japanese,Argentina,"38,000",Japanese,-58.559848,-34.659899
Lao,Argentina,"2,000",Lao,-55.912252,-27.389137
Aymara,Argentina,"4,400","Aymara, Central",-68.09194,-24.65331
Catalonian,Argentina,"200,000",Catalan,-57.794766,-35.348425
Croat,Argentina,"4,200",Croatian,-59.191089,-34.903727
Deaf,Argentina,"226,000",Argentine Sign Language,-59.17984,-34.79695
French,Argentina,"16,000",French,-59.601814,-34.497058
Galician,Argentina,"761,000",Galician,-58.549117,-34.48491
Greek,Argentina,"41,000",Greek,-58.952591,-34.759226
Italian,Argentina,"1,128,000",Italian,-58.555196,-34.877412
Polish,Argentina,"200,000",Polish,-59.052197,-33.462279
"Quichua, Santiago del Estero",Argentina,"64,000","Quichua, Santiago del Estero",-63.21644,-27.75079
"Romani, Vlax",Argentina,"60,000","Romani, Vlax",-58.392313,-34.728858
Russian,Argentina,"32,000",Russian,-58.474247,-34.559519
