murdock_name,ea_name,THP_Broad,v4_anim_husbandry,v30_settlement,v40_animal_type
ABABDA,ABABDA,0.8888888888888888,8.0,1.0,6.0
ABARAMBO,ABARAMBO,0.0,1.0,5.0,3.0
ABE,AVIKAM,0.0,1.0,7.0,3.0
ACHOLI,ACHOLI,0.0,3.0,6.0,3.0
ADAMAWA,FUTAJALON,0.0,5.0,8.0,7.0
ADANGME,ADANGME,0.0,1.0,7.0,3.0
ADARAWA,ZAZZAGAWA,0.0,3.0,7.0,7.0
ADELE,BUEM,0.0,1.0,7.0,3.0
AFAR,AFAR,0.8888888888888888,8.0,2.0,6.0
AFO,AFO,0.0,1.0,7.0,3.0
AFUSARE,ANAGUTA,0.0,1.0,6.0,3.0
AHAGGAREN,AHAGGAREN,0.5555555555555556,5.0,2.0,6.0
AJUKRU,AVIKAM,0.0,1.0,7.0,3.0
AKPOSO,BUEM,0.0,1.0,7.0,3.0
AKYEM,AKYEM,0.0,1.0,7.0,3.0
ALAGYA,ALAGYA,0.0,1.0,0.0,0.0
ALGERIANS,ALGERIANS,0.0,3.0,7.0,7.0
ALUR,ALUR,0.0,2.0,6.0,7.0
AMARAR,AMARAR,1.0,9.0,2.0,6.0
AMBA,AMBA,0.0,1.0,6.0,3.0
AMBO,AMBO,0.0,3.0,5.0,7.0
AMER,BENIAMER,0.8888888888888888,8.0,1.0,6.0
AMHARA,AMHARA,0.0,3.0,6.0,7.0
ANA,IFE,0.0,1.0,7.0,3.0
ANAG,BARABRA,0.0,3.0,7.0,7.0
ANGAS,ANGAS,0.0,2.0,5.0,3.0
ANTAISAKA,ANTAISAKA,0.0,3.0,7.0,7.0
ANTANDROY,ANTANDROY,0.4444444444444444,4.0,3.0,7.0
ANTESSAR,ANTESSAR,0.6666666666666666,6.0,1.0,6.0
ANUAK,ANUAK,0.0,1.0,7.0,3.0
ANYANG,BANYANG,0.0,1.0,7.0,3.0
ANYI,ANYI,0.0,1.0,5.0,3.0
ARAD,NIEA,,,,
ARAGO,NUPE,0.0,1.0,6.0,3.0
ARI,AVIKAM,0.0,1.0,7.0,3.0
ARUSHA,MASAI,1.0,9.0,1.0,7.0
ARUSI,ARUSI,0.5555555555555556,5.0,3.0,7.0
ASBEN,ASBEN,0.5555555555555556,5.0,2.0,6.0
ASHANTI,ASHANTI,0.0,0.0,7.0,3.0
ASSINI,ASSINI,0.0,1.0,7.0,7.0
ATTA,BERABER,0.4444444444444444,4.0,3.0,7.0
ATTIE,ATTIE,0.0,1.0,7.0,7.0
ATYUTI,BUEM,0.0,1.0,7.0,3.0
AULLIMINDEN,AULLIMIND,0.0,6.0,0.0,0.0
AUSHI,BEMBA,0.0,0.0,4.0,3.0
AUYOKAWA,ZAZZAGAWA,0.0,3.0,7.0,7.0
AVATIME,BUEM,0.0,1.0,7.0,3.0
AVIKAM,AVIKAM,0.0,1.0,7.0,3.0
AWIYA,AMHARA,0.0,3.0,6.0,7.0
AZANDE,AZANDE,0.0,0.0,5.0,1.0
AZJER,AZJER,0.5555555555555556,5.0,1.0,6.0
BABUKUR,AZANDE,0.0,0.0,5.0,1.0
BABWA,BABWA,0.0,0.0,6.0,7.0
BACHAMA,BACHAMA,0.0,2.0,7.0,7.0
BAGA,BAGA,0.0,1.0,7.0,7.0
BAGIRMI,BAGIRMI,0.0,2.0,7.0,7.0
BAHARIYA,NIEA,,,,
BAJUN,BAJUN,0.0,1.0,7.0,7.0
DAKAKARI,DAKAKARI,0.2222222222222222,2.0,3.0,3.0
BAKO,BAKO,0.0,3.0,5.0,7.0
BAKWE,BAKWE,0.0,1.0,7.0,7.0
BALANTE,BALANTE,0.0,2.0,7.0,7.0
BAMBARA,BAMBARA,0.0,2.0,7.0,7.0
BAMILEKE,BAMILEKE,0.0,1.0,6.0,1.0
BANDA,BANDA,0.0,1.0,5.0,3.0
BANGANDU,BAYA,0.0,1.0,7.0,3.0
BANGBA,MANGBETU,0.0,1.0,5.0,3.0
BANGI,SONGOLA,0.0,0.0,7.0,3.0
BANYUN,BANYUN,0.0,1.0,5.0,2.0
BANZA,MBANDJA,0.0,1.0,7.0,3.0
BANZIRI,BANDA,0.0,1.0,5.0,3.0
BARA,,,,,
BARABRA,BARABRA,0.0,3.0,7.0,7.0
BARARETTA,ARUSI,0.5555555555555556,5.0,3.0,7.0
BAREA,BAREA,0.0,2.0,7.0,7.0
BARGU,KONKOMBA,0.0,1.0,6.0,7.0
BARI,BARI,0.0,4.0,5.0,7.0
BASA,BASA,0.0,2.0,6.0,3.0
BASARI,BASARI,0.0,2.0,7.0,7.0
BASHI,BASHI,0.0,4.0,0.0,0.0
BASILA,BUEM,0.0,1.0,7.0,3.0
BASSA,BETE,0.0,1.0,7.0,3.0
BATA,BATA,0.0,2.0,6.0,7.0
BATAHIN,HASANIA,0.5555555555555556,5.0,2.0,7.0
BATI,AMBA,0.0,1.0,6.0,3.0
BAUCHI,FUTAJALON,0.0,5.0,8.0,7.0
BAULE,BAULE,0.0,1.0,7.0,3.0
BAYA,BAYA,0.0,1.0,7.0,3.0
BEDE,BOLEWA,0.0,2.0,7.0,7.0
BEDERIA,HASANIA,0.5555555555555556,5.0,2.0,7.0
BEMBA,BEMBA,0.0,0.0,4.0,3.0
BENA,BENA,0.0,3.0,7.0,7.0
BENDE,BENDE,0.0,0.0,7.0,3.0
BERABER,BERABER,0.4444444444444444,4.0,3.0,7.0
BERABISH,BERABISH,1.0,9.0,1.0,6.0
BERGDAMA,BERGDAMA,0.0,2.0,0.0,0.0
BERIBERI,KANURI,0.0,2.0,8.0,7.0
BERTA,SHILLUK,0.0,2.0,6.0,7.0
BERTI,TEDA,0.3333333333333333,3.0,2.0,6.0
BETE,BETE,0.0,1.0,7.0,3.0
BETSILEO,BETSILEO,0.0,2.0,0.0,0.0
BETSIMISARAKA,ANTAISAKA,0.0,3.0,7.0,7.0
BIAFADA,BIAFADA,0.0,1.0,7.0,2.0
BIDEYAT,TEDA,0.3333333333333333,3.0,2.0,6.0
BIJOGO,BIJOGO,0.0,2.0,7.0,7.0
BINZA,NGOMBE,0.0,0.0,7.0,1.0
BIRA,BIRA,0.0,1.0,7.0,3.0
BIRIFON,BIRIFOR,0.0,1.0,5.0,7.0
BIRKED,BARABRA,0.0,3.0,7.0,7.0
BIROM,BIROM,0.0,2.0,5.0,3.0
BISA,BEMBA,0.0,0.0,4.0,3.0
BISHARIN,BISHARIN,0.8888888888888888,8.0,2.0,6.0
BOBO,BOBO,0.0,2.0,5.0,3.0
BOFI,BANDA,0.0,1.0,5.0,3.0
BOGO,BOGO,1.0,9.0,2.0,7.0
BOKI,BOKI,0.0,1.0,7.0,7.0
BOLEWA,BOLEWA,0.0,2.0,7.0,7.0
BOMITABA,FANG,0.0,1.0,7.0,3.0
BONDEI,SHAMBALA,0.0,3.0,7.0,7.0
BONDJO,BANDA,0.0,1.0,5.0,3.0
BONGO,BONGO,0.0,1.0,5.0,3.0
BONI,NIEA,,,,
BORAN,ARUSI,0.5555555555555556,5.0,3.0,7.0
BORROM,BORROM,0.0,2.0,5.0,3.0
BOSAKA,NKUNDO,0.0,0.0,6.0,3.0
BOZO,BOZO,0.0,0.0,3.0,1.0
BRONG,ABRON,0.0,1.0,7.0,3.0
BUA,BAGIRMI,0.0,2.0,7.0,7.0
BUBI,BUBI,0.0,1.0,7.0,3.0
