entity_a,entity_b,source_flags,n_assertions,needs_review,region,source,quote,notes,entity_a_polygon_source,entity_a_polygon_id,entity_a_display_name,entity_a_match_method,entity_a_resolve_source,entity_b_polygon_source,entity_b_polygon_id,entity_b_display_name,entity_b_match_method,entity_b_resolve_source,homeland_complete
Abe,ARI,icmid_jr_pair,1,1,West Africa,Cotedivoire_Meke_2004.pdf,"QUELQUES ALLIANCES A PLAISANTERIES...Adjoukrou /Dida, Adjoukrou / Alladian",Ari is same as abidji,murdock,ABE,ABE,gis_exact,gis:murdock,murdock,ARI,ARI,gis_exact,gis:murdock,1
ABE,Dida,icmid_jr_pair,1,0,West Africa,Dida_Deza_2024,"The funny thing is that my own ethnic group, the Dida, has the same kind of relationship with the Abbé people.",,murdock,ABE,ABE,gis_exact,gis:murdock,murdock,DIDA,DIDA,gis_exact,gis:murdock,1
Abron,KULANGO,icmid_jr_pair,1,1,West Africa,CoteDivoire_Nea_2021.pdf,Tableau 2 : Alliances inter-ethniques à plaisanterie,,,,Abron,,,murdock,KULANGO,KULANGO,gis_exact,gis:murdock,0
ADARAWA,Arewa,icmid_jr_pair,1,0,West Africa,Hausa_Beik_215_NK,"If you continue, you’ll meet up with the Gwari who jokes with
the man from Gobir, if you go even further, you’ll meet the man from
Katsina who jokes with the man from Gobir, you go even further, you’ll
see the man from the Arewa joking with the man from Adar",Sub-group of Hausa ethnic group,murdock,ADARAWA,ADARAWA,gis_exact,gis:murdock,,,Arewa,,,0
Afo,KANURI,icmid_jr_pair,1,0,West Africa,"Kanuri_Lohr_2005, [for Afo] Afo_Martin_2023","As regards joking relationships, we find that no Kanuri
 sub-groups are mentioned in this context, only “Kanuri” as a unit e.g. the
 Suwurti report that the Kanuri joke with Karekare, Jukun, Fulani, reflecting
 long-lasting areal contact (cf. Ibriszimow et al. 2001).
 [for Afo] They are labelled “Afo,” a derogatory term
 the British co-opted. According to Craven, “the Kanuri called the Eloyi “Aho,” a word I was
 told meant “let us go away and rest””140 in reference to their viewing the Eloyi as “slaves,”
 though they had a “joking relationship.”",,murdock,AFO,AFO,gis_exact,gis:murdock,murdock,KANURI,Kanuri,index,ethnic_entity_index,1
AHAGGAREN,EGEDE,icmid_jr_pair,1,1,North Africa,https://ehrafworldcultures.yale.edu/cultures/ms25/summary,There are joking relationships with cousins; relationships with affines are characterized by extreme reserve.,AHAGGAREN are a subgroup of Tuareg,murdock,AHAGGAREN,all Tuareg,registry,synced from ethnic_entity_index,murdock,EGEDE,Imeggedezen,registry,synced from ethnic_entity_index,1
Ahizi,AJUKRU,icmid_jr_pair,1,1,West Africa,Cotedivoire_Meke_2004.pdf,"QUELQUES ALLIANCES A PLAISANTERIES...Adjoukrou /Dida, Adjoukrou / Alladian",,,,Ahizi,,,murdock,AJUKRU,AJUKRU,gis_exact,gis:murdock,0
AJUKRU,Alagya,icmid_jr_pair,1,1,West Africa,Cotedivoire_Meke_2004.pdf,"QUELQUES ALLIANCES A PLAISANTERIES...Adjoukrou /Dida, Adjoukrou / Alladian",Also called alladin,murdock,AJUKRU,AJUKRU,gis_exact,gis:murdock,murdock,ALAGYA,ALAGYA,gis_exact,gis:murdock,1
AJUKRU,Dida,icmid_jr_pair,1,0,West Africa,Cotedivoire_Meke_2004.pdf,"QUELQUES ALLIANCES A PLAISANTERIES...Adjoukrou /Dida, Adjoukrou / Alladian",,murdock,AJUKRU,AJUKRU,gis_exact,gis:murdock,murdock,DIDA,DIDA,gis_exact,gis:murdock,1
Akamba,TEITA,icmid_jr_pair,1,0,East Africa,Thomas_Herlehy_1984.pdf,"Another social institution which helped to create unity within the coastal region was utani, the joking relationship. Although it is more common in Tanzania, utani was another way for some peoples in Kenya to form amicable relationships. Utani has a similar origin as blood-brotherhood in that it is a method used to institutionalize good relations between people who may have been traditional enemies. When two people have an utani relationship, it signifies that they will accept as jokes remarks which they might have taken as insults in the past. Within the Kenyan coastal region the Vumba and Digo shared a joking relationship. Further inland, the Taita and Akamba also used utani to forge unity between themselves. Both of these groups of people were trading partners as well as potential rivals for trade but utani helped to diffuse situations of potential aggression and enabled these peoples to cooperate with each other to their mutual benefit.",,greg,AKAMBA,Akamba,index,ethnic_entity_index,murdock,TEITA,Teita,index,ethnic_entity_index,1
AKPOSO,Kebu,icmid_jr_pair,1,0,West Africa,Tem_Facebook.pdf,"Au Togo, il existe des ethnies qui se charrient entre elles. C’est l’exemple des #Tem et des #Mobas sur le terme
“#Wawa” qui signifie “esclave”. Les deux s’appellent Wawa ; à se demander finalement qui est l’esclave de l’autre ?
Ou encore des #Akposso et des #Akebu au sujet de “#Alè” qui signifie “celui que j’envoie”.

les Tém ont eu à conclure des alliances communautaires (« Kédya ») encore vivaces aujourd'hui avec les Moba et les Gourmantché vivant à Dapaong au nord du Togo et au sud du Burkina Faso d'une part et avec les Samirê au centre-est du Togo et au Bénin d'autre part, justifiant les railleries réciproques (bastêrê) entre eux et les groupes concernés. Ces alliances autorisent des railleries réciproques entre ces peuples.",,murdock,AKPOSO,AKPOSO,gis_exact,gis:murdock,murdock,KEBU,KEBU,gis_exact,gis:murdock,1
Akye,DIDA,icmid_jr_pair,1,1,West Africa,"CoteDivoire_Nea_2021.pdf,
Cotedivoire_Meke_2004.pdf,
Attie_UNDP_2016        
[for Avikam] Avikam_Victor_2025.pdf","Tableau 2 : Alliances inter-ethniques à plaisanterie,

QUELQUES ALLIANCES A PLAISANTERIES...Adjoukrou /Dida, Adjoukrou / Alladian        

""en Côte
d’Ivoire, les Attié ont pour parentés à plaisanterie les Oida, Mbatto, Kroumen, Bakué), ce n’est
pas le cas en Guinée forestière""

[for Attie] en Côte
d’Ivoire, les Attié ont pour parentés à plaisanterie les Oida, Mbatto, Kroumen, Bakué), ce n’est
pas le cas en Guinée forestière
[for Avikam] Cette forme de collaboration est tout aussi valable dans le
mandingue, au nord, entre les parents à plaisanterie et dans
le sud, entre les alliés matrimoniaux Dida et Avikam. C’est
une alliance de non-agression qui exige des alliés la
coexistence pacifique.",,,,Akye,,,murdock,DIDA,DIDA,gis_exact,gis:murdock,0
All Dogon,Bozo,llm_ehraf,1,0,WesternAfrica,/Dogon_Parin_59_NK,"All Dogon have a mock-kinship with the Bozo, members of a tribe of fishermen who live somewhat beyond, on the Niger.",Text states all Dogon have mock-kinship (mangu) with the Bozo; cross-community institutional joking.,,,All Dogon,,,murdock,BOZO,Bozo,index,ethnic_entity_index,0
all Tuareg,Imeggedezen,llm_ehraf,1,0,NorthernAfrica,/Tuareg_Nicolaisen_1963_429_KS,"This is true also of present day joking between noble Tuareg and vassals, and between all Tuareg and various black-skinned people such as the Imeggedezen and even slaves.",Author states joking occurs between Tuareg and the Imeggedezen as a recurrent social practice.,murdock,AHAGGAREN,all Tuareg,index,ethnic_entity_index,murdock,EGEDE,Imeggedezen,index,https://www.101lasttribes.com/tribes/igede.html,1
ANTAISAKA,MAKUA,icmid_jr_pair,1,0,East Africa,Hubert_DESCHAMPS_1959.pdf,"Il en fut de même sur les basses vallées du Manambolo (Maintirano) et du Sambao (Besalampy), ainsi que dans l'Ambongo (Soalala Mitsinjo). A la parenté lointaine avec les Sakalava se joignait là, pour faciliter les choses aux Antesaka, leur parenté à plaisanterie (ziva, somandraza, fanopa) avec les Makoa. Dans l'ouest, les Antesaka reviennent à leurs origines et sont en pays d'amitié",,murdock,ANTAISAKA,ANTAISAKA,gis_exact,gis:murdock,murdock,MAKUA,Makoa,registry,synced from ethnic_entity_index,1
ANYI,Baule,icmid_jr_pair,1,1,West Africa,"Cotedivoire_Meke_2004.pdf
CoteDivoire_Nea_2021.pdf","QUELQUES ALLIANCES A PLAISANTERIES...Adjoukrou /Dida, Anyi / Baoule

Tableau 2 : Alliances inter-ethniques à plaisanterie",Also called anyi,murdock,ANYI,ANYI,gis_exact,gis:murdock,murdock,BAULE,BAULE,gis_exact,gis:murdock,1
ANYI,Kulango,icmid_jr_pair,1,1,West Africa,"Cotedivoire_Meke_2004.pdf
CoteDivoire_Nea_2021.pdf","QUELQUES ALLIANCES A PLAISANTERIES...Adjoukrou /Dida, Anyi / Baoule

Tableau 2 : Alliances inter-ethniques à plaisanterie",Also called anyi,murdock,ANYI,ANYI,gis_exact,gis:murdock,murdock,KULANGO,KULANGO,gis_exact,gis:murdock,1
ARI,Dida,icmid_jr_pair,1,0,West Africa,Cotedivoire_Meke_2004.pdf,"QUELQUES ALLIANCES A PLAISANTERIES...Adjoukrou /Dida, Adjoukrou / Alladian",Ari is same as abidji,murdock,ARI,ARI,gis_exact,gis:murdock,murdock,DIDA,DIDA,gis_exact,gis:murdock,1
Ashanti,Nzima,llm_ehraf,2,0,WesternAfrica,/Akan_Fortes_273_NK | /Akan_Fortes__273_KS,Conventionalized joking is not customary in any Ashanti kinship relationship. The nearest approach to a joking relationship is the privileged familiarity that obtains between Ashanti and some neighbouring Akan peoples like the Nzima.,Author identifies privileged familiarity between Ashanti and neighbouring Akan peoples like the Nzima as nearest joking relationship. | Author identifies a recurrent 'privileged familiarity' between Ashanti and neighbouring Nzima resembling a joking relationship.,murdock,ASHANTI,Ashanti,index,ethnic_entity_index,,,Nzima,,,0
ASHANTI,Nzimas,icmid_jr_pair,1,0,West Africa,Ashanti_Arhin_1967,"Upon the defeat of the Denkyeras, Wassaws and Sehwis in the
south-western hinterland, the Ashantis formed some sort of an alliance
(expressed in a joking relationship which has lasted to today) with the
Nzimas for the purpose of securing easy passage to Kankyiabo (Half-
Assini), where the Ashantis first started trading.2",,murdock,ASHANTI,Ashanti,index,ethnic_entity_index,,,Nzimas,,,0
ATTIE,Bakwe,icmid_jr_pair,1,1,West Africa,Attie_UNDP_2016,"en Côte
d’Ivoire, les Attié ont pour parentés à plaisanterie les Oida, Mbatto, Kroumen, Bakué), ce n’est
pas le cas en Guinée forestière",,murdock,ATTIE,ATTIE,gis_exact,gis:murdock,murdock,BAKWE,BAKWE,gis_exact,gis:murdock,1
ATTIE,Dida,icmid_jr_pair,1,0,West Africa,"CoteDivoire_Nea_2021.pdf,
Cotedivoire_Meke_2004.pdf,
Attie_UNDP_2016        
[for Avikam] Avikam_Victor_2025.pdf","Tableau 2 : Alliances inter-ethniques à plaisanterie,

QUELQUES ALLIANCES A PLAISANTERIES...Adjoukrou /Dida, Adjoukrou / Alladian        

""en Côte
d’Ivoire, les Attié ont pour parentés à plaisanterie les Oida, Mbatto, Kroumen, Bakué), ce n’est
pas le cas en Guinée forestière""

[for Attie] en Côte
d’Ivoire, les Attié ont pour parentés à plaisanterie les Oida, Mbatto, Kroumen, Bakué), ce n’est
pas le cas en Guinée forestière
[for Avikam] Cette forme de collaboration est tout aussi valable dans le
mandingue, au nord, entre les parents à plaisanterie et dans
le sud, entre les alliés matrimoniaux Dida et Avikam. C’est
une alliance de non-agression qui exige des alliés la
coexistence pacifique.",,murdock,ATTIE,ATTIE,gis_exact,gis:murdock,murdock,DIDA,DIDA,gis_exact,gis:murdock,1
ATTIE,Kroumen,icmid_jr_pair,1,0,West Africa,Attie_UNDP_2016,"en Côte
d’Ivoire, les Attié ont pour parentés à plaisanterie les Oida, Mbatto, Kroumen, Bakué), ce n’est
pas le cas en Guinée forestière",,murdock,ATTIE,ATTIE,gis_exact,gis:murdock,,,Kroumen,,,0
ATTIE,Mbatto,icmid_jr_pair,1,0,West Africa,Attie_UNDP_2016,"en Côte
d’Ivoire, les Attié ont pour parentés à plaisanterie les Oida, Mbatto, Kroumen, Bakué), ce n’est
pas le cas en Guinée forestière",,murdock,ATTIE,ATTIE,gis_exact,gis:murdock,,,Mbatto,,,0
AVIKAM,Dida,icmid_jr_pair,1,0,West Africa,Avikam_Victor_2025.pdf,"Cette forme de collaboration est tout aussi valable dans le
mandingue, au nord, entre les parents à plaisanterie et dans
le sud, entre les alliés matrimoniaux Dida et Avikam. C’est
une alliance de non-agression qui exige des alliés la
coexistence pacifique.",,murdock,AVIKAM,AVIKAM,gis_exact,gis:murdock,murdock,DIDA,DIDA,gis_exact,gis:murdock,1
Ayizo,FON,icmid_jr_pair,1,0,West Africa,Bargou_Bigou_2019.pdf,"Dans cette partie du Bénin, il existe cette parenté à plaisanterie entre les peuples ci-
après : (i) Fon (à l‟intérieur de la collectivité et des clans) ; (ii) entre Fon et
Yorouba en remontant à leurs périodes de conflits armés du 17ème au à la première
moitié du 19ème siècle ; (iii) entre Xwla et Hueda (rapport de cousinage où le
premier se considère comme le plus grand que le second) ; (iv) Ayizo et Bopagbe
(Ayizo se considérant comme le plus grand et plus ancien que Bopagbe), (v) entre
Ayizo et Fon….",,,,Ayizo,,,murdock,FON,Fon,index,ethnic_entity_index,0
B[unknown]adde,Monga,llm_ehraf,1,0,WesternAfrica,/Kanuri_Cohen_73_NK,"Joking relations also hold between clans such as Ngala’s and Magumi; Nguma and T[unknown]ara; Kuburi and T[unknown]ara; Su’urti and Kuburi; or between ethnic groups like Shuwa and Kanuri; Kurdi and Shuwa; Hausa and Fulani; Kanuri and Fulani; Tubu and Monga; Monga and B[unknown]adde; Kanembu and Wasili (Arabs). In the above relationships which seem in all cases to cover an area of interrelations involving potential conflicts, the joking takes the form (usually) of the grandparent-grandchild relationship.",Ethnic groups explicitly paired (Monga ↔ B[unknown]adde).,,,B[unknown]adde,,,,,Monga,,,0
BACHAMA,Chamba,icmid_jr_pair,1,0,West Africa,"Bachama_Fardon_1983.pdf, Jukun_Adelberger_2008.pdf","On the one hand there is a tribal joking relation be-
tween Chamba and Bata/Bachama which informants claim makes fighting absurd and un-
thinkable. ;

The Bachama apparently fought against Kona before,
but out of fear of magic, they rather established a joking relationship with the Jibe.",,murdock,BACHAMA,BACHAMA,gis_exact,gis:murdock,murdock,CHAMBA,CHAMBA,gis_exact,gis:murdock,1
BACHAMA,Kona,icmid_jr_pair,1,0,West Africa,"Bachama_Fardon_1983.pdf, Jukun_Adelberger_2008.pdf","On the one hand there is a tribal joking relation be-
tween Chamba and Bata/Bachama which informants claim makes fighting absurd and un-
thinkable. ;

The Bachama apparently fought against Kona before,
but out of fear of magic, they rather established a joking relationship with the Jibe.",,murdock,BACHAMA,BACHAMA,gis_exact,gis:murdock,murdock,KONA,KONA,gis_exact,gis:murdock,1
