group_id,polygon_source,polygon_name,lat,lon
KANOURI,geopr,Kanouri,,
PEUL,geopr,Peul,,
TUAREG,geopr,Tuareg,,
BORORO,greg,Bororo,,
FULBE,greg,Fulbe,,
MANO,greg,Mano,,
NUBIANS,greg,Nubians,,
TUAREGS,greg,Tuaregs,,
TUBU,greg,Tubu,,
ASHANTI,murdock,ASHANTI,,
AZANDE,murdock,AZANDE,,
BAMBARA,murdock,BAMBARA,,
BERIBERI,murdock,BERIBERI,,
BOBO,murdock,BOBO,,
BOZO,murdock,BOZO,,
BUA,murdock,BUA,,
BUSANSI,murdock,BUSANSI,,
DAFI,murdock,DAFI,,
DAGARI,murdock,DAGARI,,
DAGOMBA,murdock,DAGOMBA,,
DIOLA,murdock,DIOLA,,
DOGON,murdock,DOGON,,
GAN,murdock,GAN,,
GBARI,murdock,GBARI,,
GRUNSHI,murdock,GRUNSHI,,
GURENSI,murdock,GURENSI,,
HAUSA,murdock,HAUSA,,
KAM,murdock,KAM,,
KAMBERI,murdock,KAMBERI,,
KANEMBU,murdock,KANEMBU,,
KANURI,murdock,KANURI,,
KARABORO,murdock,KARABORO,,
LOBI,murdock,LOBI,,
LOZI,murdock,LOZI,,
LUGURU,murdock,LUGURU,,
MALINKE,murdock,MALINKE,,
MASAI,murdock,MASAI,,
MBUNGA,murdock,MBUNGA,,
MINIANKA,murdock,MINIANKA,,
MOBA,murdock,MOBA,,
MOSSI,murdock,MOSSI,,
NYAKYUSA,murdock,NYAKYUSA,,
NYAMWEZI,murdock,NYAMWEZI,,
POGORO,murdock,POGORO,,
SAADI,murdock,SAADI,,
SAMO,murdock,SAMO,,
SENUFO,murdock,SENUFO,,
SERER,murdock,SERER,,
SHUWA,murdock,SHUWA,,
SIA,murdock,SIA,,
SONGHAI,murdock,SONGHAI,,
SUKUMA,murdock,SUKUMA,,
TEITA,murdock,TEITA,,
TIV,murdock,TIV,,
TONGA,murdock,TONGA,,
TUSYAN,murdock,TUSYAN,,
VENDA,murdock,VENDA,,
WARA,murdock,WARA,,
YORUBA,murdock,YORUBA,,
ZARAMO,murdock,ZARAMO,,
ZERMA,murdock,ZERMA,,
BOBO FING,point,,12.39755,-4.32547
KUSAAL,point,,11.09608,-0.46812
SIAMOU,point,,12.659445,-7.983175
TIEFO,point,,10.7184,-4.52615
WALA,point,,9.89622,-2.34685
