group,n_i,n_ii,n_iii,intensity,color
BAMBARA,2,4,4,5,#a50f15
BEMBA,2,20,12,5,#a50f15
DOGON,5,6,21,5,#a50f15
FULBE,4,3,58,5,#a50f15
HAUSA,47,32,16,5,#a50f15
ILA,1,1,2,5,#a50f15
KANURI,22,14,12,5,#a50f15
KPELLE,6,4,2,5,#a50f15
LUGURU,19,20,10,5,#a50f15
LUO,4,3,3,5,#a50f15
MOSSI,14,20,91,5,#a50f15
NUBIANS,3,7,1,5,#a50f15
NUPE,9,5,1,5,#a50f15
TONGA,16,13,7,5,#a50f15
TUAREG,30,29,1,5,#a50f15
AZANDE,8,25,0,4,#de2d26
BENA,7,0,2,4,#de2d26
FON,10,0,2,4,#de2d26
GRUNSHI,0,1,29,4,#de2d26
GURENSI,27,13,0,4,#de2d26
GURMA,0,1,1,4,#de2d26
LENJE,0,1,12,4,#de2d26
LOZI,6,0,14,4,#de2d26
PEUL,0,1,10,4,#de2d26
YORUBA,1,0,5,4,#de2d26
AKAMBA,0,0,1,3,#fb6a4a
ASHANTI,0,0,3,3,#fb6a4a
BALANTE,0,0,3,3,#fb6a4a
BERIBERI,0,0,3,3,#fb6a4a
BIRIFON,0,0,4,3,#fb6a4a
BIRIFOR,0,0,12,3,#fb6a4a
BISA,0,0,4,3,#fb6a4a
BOBO,0,0,18,3,#fb6a4a
BOBO FING,0,0,2,3,#fb6a4a
BORORO,0,0,1,3,#fb6a4a
BOZO,0,0,11,3,#fb6a4a
BUA,0,0,23,3,#fb6a4a
BUSANSI,0,0,19,3,#fb6a4a
CHAGA,0,0,1,3,#fb6a4a
DAFI,0,0,32,3,#fb6a4a
DAGARA,0,0,2,3,#fb6a4a
DAGARI,0,0,24,3,#fb6a4a
DAGOMBA,0,0,2,3,#fb6a4a
DIOLA,0,0,3,3,#fb6a4a
DJERMA,0,0,19,3,#fb6a4a
GAN,0,0,4,3,#fb6a4a
GBARI,0,0,1,3,#fb6a4a
GOGO,0,0,14,3,#fb6a4a
GOURMANTCHÉ,0,0,33,3,#fb6a4a
GOUROUNSI,0,0,19,3,#fb6a4a
GURMANCE,0,0,3,3,#fb6a4a
HAYA,0,0,3,3,#fb6a4a
KAM,0,0,1,3,#fb6a4a
KAMBERI,0,0,1,3,#fb6a4a
KANEMBU,0,0,1,3,#fb6a4a
KANOURI,0,0,1,3,#fb6a4a
KAONDE,0,0,5,3,#fb6a4a
KARABORO,0,0,7,3,#fb6a4a
KONONGO,0,0,1,3,#fb6a4a
KURUMBA,0,0,19,3,#fb6a4a
KUSAAL,0,0,6,3,#fb6a4a
LAMBA,0,0,4,3,#fb6a4a
LEYA,0,0,1,3,#fb6a4a
LOBI,0,0,29,3,#fb6a4a
LUNDA,0,0,3,3,#fb6a4a
LUVALE,0,0,4,3,#fb6a4a
MALINKE,0,0,18,3,#fb6a4a
MANDINKA,0,0,2,3,#fb6a4a
MANDÉ,0,0,6,3,#fb6a4a
MANO,0,0,2,3,#fb6a4a
MASAI,0,0,3,3,#fb6a4a
MBUNGA,0,0,23,3,#fb6a4a
MINIANKA,0,0,1,3,#fb6a4a
MOBA,0,0,7,3,#fb6a4a
MPEZENI,0,0,21,3,#fb6a4a
NDEBELE,0,0,1,3,#fb6a4a
NGWATO,0,0,1,3,#fb6a4a
NSENGA,0,0,2,3,#fb6a4a
NYAKYUSA,0,0,6,3,#fb6a4a
NYAMWEZI,0,0,16,3,#fb6a4a
POGORO,0,0,4,3,#fb6a4a
SAADI,0,0,1,3,#fb6a4a
SAMBLA,0,0,6,3,#fb6a4a
SAMO,0,0,28,3,#fb6a4a
SENUFO,0,0,23,3,#fb6a4a
SERER,0,0,5,3,#fb6a4a
SHUWA,0,0,2,3,#fb6a4a
SIA,0,0,2,3,#fb6a4a
SIAMOU,0,0,5,3,#fb6a4a
SOLI,0,0,2,3,#fb6a4a
SONGHAI,0,0,17,3,#fb6a4a
SONINKE,0,0,3,3,#fb6a4a
SUK,0,0,1,3,#fb6a4a
SUKUMA,0,0,8,3,#fb6a4a
SUMBWA,0,0,5,3,#fb6a4a
TAWANA,0,0,1,3,#fb6a4a
TEITA,0,0,3,3,#fb6a4a
TIEFO,0,0,8,3,#fb6a4a
TIV,0,0,3,3,#fb6a4a
TUAREGS,0,0,11,3,#fb6a4a
TUBU,0,0,1,3,#fb6a4a
TUKULOR,0,0,2,3,#fb6a4a
TUMBUKA,0,0,3,3,#fb6a4a
TURKANA,0,0,2,3,#fb6a4a
TUSYAN,0,0,15,3,#fb6a4a
VENDA,0,0,4,3,#fb6a4a
WALA,0,0,1,3,#fb6a4a
WARA,0,0,1,3,#fb6a4a
YAO,0,0,8,3,#fb6a4a
ZANAKI,0,0,2,3,#fb6a4a
ZARAMO,0,0,10,3,#fb6a4a
ZERMA,0,0,12,3,#fb6a4a
ZIGUA,0,0,7,3,#fb6a4a
ZIGULA,0,0,7,3,#fb6a4a
