name,action
ABE,add to polygon_group_registry.xlsx aliases
ADARAWA,add to polygon_group_registry.xlsx aliases
AJUKRU,add to polygon_group_registry.xlsx aliases
AKPOSO,add to polygon_group_registry.xlsx aliases
ANTAISAKA,add to polygon_group_registry.xlsx aliases
ANYI,add to polygon_group_registry.xlsx aliases
ARI,add to polygon_group_registry.xlsx aliases
ATTIE,add to polygon_group_registry.xlsx aliases
AVIKAM,add to polygon_group_registry.xlsx aliases
Abe,add to polygon_group_registry.xlsx aliases
Abron,add to polygon_group_registry.xlsx aliases
Afo,add to polygon_group_registry.xlsx aliases
Ahizi,add to polygon_group_registry.xlsx aliases
Akan,add to polygon_group_registry.xlsx aliases
Akye,add to polygon_group_registry.xlsx aliases
Alagya,add to polygon_group_registry.xlsx aliases
Arewa,add to polygon_group_registry.xlsx aliases
Ayizo,add to polygon_group_registry.xlsx aliases
BACHAMA,add to polygon_group_registry.xlsx aliases
BARGU,add to polygon_group_registry.xlsx aliases
BAULE,add to polygon_group_registry.xlsx aliases
BAYA,add to polygon_group_registry.xlsx aliases
BETE,add to polygon_group_registry.xlsx aliases
BUILSA,add to polygon_group_registry.xlsx aliases
BURA,add to polygon_group_registry.xlsx aliases
Bagisu,add to polygon_group_registry.xlsx aliases
Bakwe,add to polygon_group_registry.xlsx aliases
Bam,add to polygon_group_registry.xlsx aliases
Bamana,add to polygon_group_registry.xlsx aliases
Bangubangu,add to polygon_group_registry.xlsx aliases
Bani,add to polygon_group_registry.xlsx aliases
Baoule,add to polygon_group_registry.xlsx aliases
Barga,add to polygon_group_registry.xlsx aliases
Bassorobié,add to polygon_group_registry.xlsx aliases
Baule,add to polygon_group_registry.xlsx aliases
Bella,add to polygon_group_registry.xlsx aliases
BerbersofMorocco,add to polygon_group_registry.xlsx aliases
Bingo,add to polygon_group_registry.xlsx aliases
Bira villagers,add to polygon_group_registry.xlsx aliases
Birifor,add to polygon_group_registry.xlsx aliases
Bobo fing,add to polygon_group_registry.xlsx aliases
Bobo madaré,add to polygon_group_registry.xlsx aliases
Bobo-Dioula,add to polygon_group_registry.xlsx aliases
Bobo-dioula,add to polygon_group_registry.xlsx aliases
Boosso,add to polygon_group_registry.xlsx aliases
Bornu,add to polygon_group_registry.xlsx aliases
Bourgo,add to polygon_group_registry.xlsx aliases
Bwaba,add to polygon_group_registry.xlsx aliases
CHAKOSSI,add to polygon_group_registry.xlsx aliases
CHEWA,add to polygon_group_registry.xlsx aliases
CYRENAICANS,add to polygon_group_registry.xlsx aliases
Cham,add to polygon_group_registry.xlsx aliases
Chamba,add to polygon_group_registry.xlsx aliases
Curama,add to polygon_group_registry.xlsx aliases
DAKAKARI,add to polygon_group_registry.xlsx aliases
DAN,add to polygon_group_registry.xlsx aliases
DIAN,add to polygon_group_registry.xlsx aliases
DIDA,add to polygon_group_registry.xlsx aliases
DIGO,add to polygon_group_registry.xlsx aliases
DOROSIE,add to polygon_group_registry.xlsx aliases
Da,add to polygon_group_registry.xlsx aliases
Dagaaba,add to polygon_group_registry.xlsx aliases
Dagara,add to polygon_group_registry.xlsx aliases
Dakakari,add to polygon_group_registry.xlsx aliases
Dayamba,add to polygon_group_registry.xlsx aliases
Dibloni,add to polygon_group_registry.xlsx aliases
Dida,add to polygon_group_registry.xlsx aliases
Dii,add to polygon_group_registry.xlsx aliases
Diula,add to polygon_group_registry.xlsx aliases
Djan,add to polygon_group_registry.xlsx aliases
Djerma,add to polygon_group_registry.xlsx aliases
Djimini,add to polygon_group_registry.xlsx aliases
Doe,add to polygon_group_registry.xlsx aliases
Dukawa,add to polygon_group_registry.xlsx aliases
Ethnies du sud-ouest,add to polygon_group_registry.xlsx aliases
Folma,add to polygon_group_registry.xlsx aliases
Forgerons,add to polygon_group_registry.xlsx aliases
Fula,add to polygon_group_registry.xlsx aliases
GUIN,add to polygon_group_registry.xlsx aliases
GURO,add to polygon_group_registry.xlsx aliases
Gagu,add to polygon_group_registry.xlsx aliases
Ganzirsi,add to polygon_group_registry.xlsx aliases
Gboro,add to polygon_group_registry.xlsx aliases
Gikuyu,add to polygon_group_registry.xlsx aliases
Goala,add to polygon_group_registry.xlsx aliases
Godie,add to polygon_group_registry.xlsx aliases
Gonja,add to polygon_group_registry.xlsx aliases
Gourmantche,add to polygon_group_registry.xlsx aliases
Gourmantché,add to polygon_group_registry.xlsx aliases
Gourounsi,add to polygon_group_registry.xlsx aliases
Griots,add to polygon_group_registry.xlsx aliases
Guere,add to polygon_group_registry.xlsx aliases
Guin,add to polygon_group_registry.xlsx aliases
Gurmance,add to polygon_group_registry.xlsx aliases
Guro,add to polygon_group_registry.xlsx aliases
Gurunsi,add to polygon_group_registry.xlsx aliases
Gwari,add to polygon_group_registry.xlsx aliases
HA,add to polygon_group_registry.xlsx aliases
HEHE,add to polygon_group_registry.xlsx aliases
Ha,add to polygon_group_registry.xlsx aliases
Hausa-Fulani,add to polygon_group_registry.xlsx aliases
Hehe,add to polygon_group_registry.xlsx aliases
Hel Koreish,add to polygon_group_registry.xlsx aliases
Hueda,add to polygon_group_registry.xlsx aliases
Igbo,add to polygon_group_registry.xlsx aliases
Ireli,add to polygon_group_registry.xlsx aliases
JEN,add to polygon_group_registry.xlsx aliases
JUKUN,add to polygon_group_registry.xlsx aliases
Jalgoobo,add to polygon_group_registry.xlsx aliases
Jola,add to polygon_group_registry.xlsx aliases
Jukun,add to polygon_group_registry.xlsx aliases
KABRE,add to polygon_group_registry.xlsx aliases
KAMBA,add to polygon_group_registry.xlsx aliases
KIKUYU,add to polygon_group_registry.xlsx aliases
KINGA,add to polygon_group_registry.xlsx aliases
KONKOMBA,add to polygon_group_registry.xlsx aliases
KULANGO,add to polygon_group_registry.xlsx aliases
KUNDA,add to polygon_group_registry.xlsx aliases
KWERE,add to polygon_group_registry.xlsx aliases
Kaguru,add to polygon_group_registry.xlsx aliases
Karekare,add to polygon_group_registry.xlsx aliases
Katsinawa,add to polygon_group_registry.xlsx aliases
Kebu,add to polygon_group_registry.xlsx aliases
Kinga,add to polygon_group_registry.xlsx aliases
Kokobiri,add to polygon_group_registry.xlsx aliases
Komono,add to polygon_group_registry.xlsx aliases
Kona,add to polygon_group_registry.xlsx aliases
Konate,add to polygon_group_registry.xlsx aliases
Korabou,add to polygon_group_registry.xlsx aliases
Kotokoli,add to polygon_group_registry.xlsx aliases
Koyaka,add to polygon_group_registry.xlsx aliases
Kroumen,add to polygon_group_registry.xlsx aliases
Kugni,add to polygon_group_registry.xlsx aliases
Kulango,add to polygon_group_registry.xlsx aliases
Kurdi,add to polygon_group_registry.xlsx aliases
Kurumba,add to polygon_group_registry.xlsx aliases
Kusaal,add to polygon_group_registry.xlsx aliases
Kutu,add to polygon_group_registry.xlsx aliases
Kwa,add to polygon_group_registry.xlsx aliases
LALA,add to polygon_group_registry.xlsx aliases
LIPTAKO,add to polygon_group_registry.xlsx aliases
LOMWE,add to polygon_group_registry.xlsx aliases
LUAPULA,add to polygon_group_registry.xlsx aliases
Laye,add to polygon_group_registry.xlsx aliases
LibyanBedouin,add to polygon_group_registry.xlsx aliases
Lorhon,add to polygon_group_registry.xlsx aliases
Lounssé,add to polygon_group_registry.xlsx aliases
Lower Ogol,add to polygon_group_registry.xlsx aliases
MAGUZAWA,add to polygon_group_registry.xlsx aliases
MANGA,add to polygon_group_registry.xlsx aliases
MBUM,add to polygon_group_registry.xlsx aliases
MUMUYE,add to polygon_group_registry.xlsx aliases
MWERA,add to polygon_group_registry.xlsx aliases
Mahouka,add to polygon_group_registry.xlsx aliases
Mamprusi,add to polygon_group_registry.xlsx aliases
Mandé,add to polygon_group_registry.xlsx aliases
Maranse,add to polygon_group_registry.xlsx aliases
Maures,add to polygon_group_registry.xlsx aliases
Mbatto,add to polygon_group_registry.xlsx aliases
Mbugwe,add to polygon_group_registry.xlsx aliases
