entity,entity_type,homeland_status
Okiek,ethnic group,resolved
Nzima,ethnic group,unresolved
Somono,ethnic group,unresolved
Koulibali,patronym,unresolved
Tangara,ethnic group,unresolved
Upper Ogol,village,unresolved
Lower Ogol,village,unresolved
people of different dialect groups,group,unresolved
each other,group,unresolved
Sanga,village,unresolved
Ireli,village,resolved
Sanga,village,resolved
Yendoumman,village,unresolved
White,ethnic group,resolved
All Dogon,ethnic group,unresolved
dillalai-mahautaa,caste,unresolved
sedentary Fulani,ethnic group,unresolved
sarakolle,group,unresolved
Wodaabe,ethnic group,resolved
Wodaabe,ethnic group,unresolved
slaves they acquired during the period of jihad,group,unresolved
WoDaaBe,ethnic group,nan
Barebare,ethnic group,unresolved
Gwari,ethnic group,unresolved
man from Gobir,regional group,unresolved
man from Katsina,regional group,unresolved
man from Arewa,regional group,unresolved
man from Adar,regional group,unresolved
Dukawa,ethnic group,unresolved
Kamberi males,ethnic group,unresolved
Dukawa males,ethnic group,unresolved
men of Zaria,regional group,unresolved
men of Kano,regional group,unresolved
men of Zamfara,regional group,unresolved
men of Katsina,regional group,unresolved
"Buzaye (serfs of the Asben people, Tuareg)",caste,unresolved
blacksmiths,caste,unresolved
Onitsha,regional group,unresolved
Nri,regional group,unresolved
Kurdi,ethnic group,unresolved
Monga,ethnic group,resolved
Monga,ethnic group,unresolved
B[unknown]adde,ethnic group,unresolved
Wasili (Arabs),ethnic group,resolved
certain villages,village,unresolved
other certain villages,village,unresolved
several other ethnic groups,ethnic group,unresolved
each other,village,unresolved
Gurunsi,ethnic group,resolved
Samogho,ethnic group,unresolved
Yarse,ethnic group,unresolved
certain Nupe sections,regional group,unresolved
other tribes,ethnic group,unresolved
Yam(ə)l(ə)g,village,resolved
Yam(ə)l(ə)g,village,unresolved
Nab(ə)rug,village,unresolved
Wakii,village,unresolved
T□nzugu,village,unresolved
Sie,village,unresolved
Jola,ethnic group,unresolved
Curama,ethnic_group,resolved
Nankana,ethnic_group,unresolved
Zaose,ethnic_group,unresolved
Forgerons,ethnic_group,resolved
Poéssé,place,unresolved
Nankana,ethnic_group,resolved
Zaose,ethnic_group,resolved
Bella,ethnic_group,resolved
Silmi-Mossi,ethnic_group,unresolved
Forgerons,ethnic_group,unresolved
Maranse,ethnic_group,resolved
Ninisi,ethnic_group,unresolved
Ethnies du sud-ouest,ethnic_group,resolved
Bani,ethnic_group,unresolved
Saaba,ethnic_group,unresolved
Yaoni,ethnic_group,unresolved
Bobo madaré,ethnic_group,unresolved
